category,definition,terms
Formation Evaluation,"The volume of hydrocarbons per unit volume of rock that have been moved by invasion, measured in volume/volume or porosity units. Moved hydrocarbons are not necessarily the same as moveable hydrocarbons, which are those hydrocarbons that can be moved on primary and secondary production.",moved hydrocarbons
Well Workover and Intervention,The surface-pump pressure limit below which a treatment should be performed. The maximum treating pressure is determined to avoid fracturing the formation or damaging completion components. The maximum treating pressure is generally calculated to ensure that the pump-pressure limit equates to downhole and reservoir conditions that are within the design limits of the treatment.,maximum treating pressure
Well Workover and Intervention," Drilling,A tool that grinds metal downhole. A mill is usually used to remove junk in the hole or to grind away all or part of a casing string. In the case of junk, the metal must be broken into smaller pieces to facilitate removal from the wellbore so that drilling can continue. When milling casing, the intent is to cut a window through the side of the casing or to remove a continuous section of the casing so that the wellbore may be deviated from the original well through the window or section removed. Depending on the type of grinding or metal removal required, the shape of the cutting structures of mills varies. Virtually all mills, however, utilize tungsten carbine cutting surfaces.",mill
Geophysics,The difference in the arrival times or traveltimes of a reflected wave measured by receivers at two different offset locations. Normal moveout (NMO) is moveout caused by the separation between a source and a receiver in the case of a flat reflector. Dip moveout (DMO) occurs as an effect in addition to NMO when reflectors dip. Problems that require static corrections can also produce moveout.,moveout
Geophysics,The procedure in seismic processing that compensates for the effects of the separation between seismic sources and receivers.,moveout
Drilling," Well Workover and Intervention,To use a mill or similar downhole tool to cut and remove metal downhole. A mill is usually used to remove junk in the hole or to grind away all or part of a casing string. When milling out casing, the intent is to cut a window through the side of the casing or to remove a continuous section of the casing so that the wellbore may be deviated from the original well through the window or section removed. Successful milling operations require appropriate selection of milling tools, fluids and techniques. The mills, or similar cutting tools, must be compatible with the fish or casing materials and wellbore conditions. The circulated fluids should be capable of removing the milled material from the wellbore. Finally, the techniques employed should be appropriate to the anticipated conditions and the likely time required to reach the operation objectives.",mill out
Geophysics,An acquisition technique most commonly used in electromagnetic methods whereby the energy source or transmitter and detectors or receivers are kept in the same relative position and moved together to different spots to compile a profile or map.,moving source method
Reservoir Characterization,A technique for determining the deviation of a wellbore. The multishot tool provides more accuracy than the single-shot tool and is usually used in highly deviated wells.,multishot survey
Well Workover and Intervention,"A downhole tool routinely used in fishing operations to prepare the top and outside surface of a fish, generally to allow an overshot or similar fishing tool to engage cleanly on the fish. In some cases, the outer portion of a fish may be milled out to allow the body and remaining debris to be pushed to the bottom of the wellbore.",mill shoe
Drilling,Abbreviation for managed pressure drilling.,MPD
Drilling," Production,A pad with multiple wells.",multiwell pad
Drilling Fluids,"A test to determine the amount of clay-like materials in a water-base drilling fluid based on the amount of methylene blue dye absorbed by the sample. Results are reported as MBT and also as lbm/bbl, bentonite equivalent when performed to API specifications.",MBT test
Drilling Fluids,"On the basis of weight, the equivalent of parts per million, usually applied to small amounts of one solid admixed with another solid, such as 100 mg/kg of siderite in barite, the same as 100 ppm.",milligrams per kilogram
Enhanced Oil Recovery,"Abbreviation for mils (thousandths of an inch) per year penetration, a unit of measurement for the corrosion rate of a coupon.",mpy
Geophysics,"To remove the contribution of selected seismic traces in a stack to minimize air waves, ground roll and other early-arriving noise. Low-frequency traces and long-offset traces are typical targets for muting.",mute
Drilling,"The length of the wellbore, as if determined by a measuring stick. This measurement differs from the true vertical depth of the well in all but vertical wells. Since the wellbore cannot be physically measured from end to end, the lengths of individual joints of drillpipe, drill collars and other drillstring elements are measured with a steel tape measure and added together. Importantly, the pipe is measured while in the derrick or laying on a pipe rack, in an untensioned, unstressed state. When the pipe is screwed together and put into the wellbore, it stretches under its own weight and that of the bottomhole assembly. Although this fact is well established, it is not taken into account when reporting the well depth. Hence, in virtually all cases, the actual wellbore is slightly deeper than the reported depth.",MD
Drilling Fluids,"On a weight per volume basis, the SI unit of concentration, abbreviated mg/L, usually applied to dissolved material in a solution. This unit is used in water analyses and in mud and mud-filtrate analyses. Increasingly, mg/L and ppm are used interchangeably in mud analyses. Actually, mg/L and ppm can only be interchanged when the sample has the exact density of water, which is only approximated by very dilute solutions.",milligrams per liter
Geology,"Abbreviation for magnetic reversal sequence, the periodic switching of the magnetic north and south poles of the Earth throughout time, probably as a result of movement of fluid within the Earth's core. The onset and duration of the many episodes of reversed polarity have been documented by examining the polarity of magnetic minerals within rocks of different ages from around the world, particularly in basalts or igneous rocks of the oceanic crust. Oceanic basalts record the Earth's magnetic field as they solidify from molten lava symmetrically on each side of the midoceanic ridges. These data have been compiled to create a time scale known as the geomagnetic polarity time scale (GPTS). In the oil field, borehole recordings allow direct correlation to GPTS and well-to-well correlations.",MRS
Well Workover and Intervention,"A chemical additive for stimulation treatments that is soluble in oil, water and acid-based treatment fluids. Mutual solvents are routinely used in a range of applications, such as removing heavy hydrocarbon deposits, controlling the wettability of contact surfaces before, during or after a treatment, and preventing or breaking emulsions. A commonly used mutual solvent is ethyleneglycolmonobutyl ether, generally known as EGMBE.",mutual solvent
Reservoir Characterization,A mathematical method of finding a central value for a group of data. It is most often referred to as the average but also as the arithmetic mean; it is the sum of all the observed values divided by the number of observations.,mean
Well Workover and Intervention," Drilling,The use of a mill or similar downhole tool to cut and remove material from equipment or tools located in the wellbore. Successful milling operations require appropriate selection of milling tools, fluids and techniques. The mills, or similar cutting tools, must be compatible with the fish materials and wellbore conditions. The circulated fluids should be capable of removing the milled material from the wellbore. Finally, the techniques employed should be appropriate to the anticipated conditions and the likely time required to reach the operation objectives.",milling
Drilling,"The evaluation of physical properties, usually including pressure, temperature and wellbore trajectory in three-dimensional space, while extending a wellbore. MWD is now standard practice in offshore directional wells, where the tool cost is offset by rig time and wellbore stability considerations if other tools are used. The measurements are made downhole, stored in solid-state memory for some time and later transmitted to the surface. Data transmission methods vary from company to company, but usually involve digitally encoding data and transmitting to the surface as pressure pulses in the mud system. These pressures may be positive, negative or continuous sine waves. Some MWD tools have the ability to store the measurements for later retrieval with wireline or when the tool is tripped out of the hole if the data transmission link fails. MWD tools that measure formation parameters (resistivity, porosity, sonic velocity, gamma ray) are referred to as logging-while-drilling (LWD) tools. LWD tools use similar data storage and transmission systems, with some having more solid-state memory to provide higher resolution logs after the tool is tripped out than is possible with the relatively low bandwidth, mud-pulse data transmission system.",MWD
Formation Evaluation,"The position on a logging tool that best represents the center of the vertical response of the measurement. For a simple single transmitter-single receiver measurement, the measure point is half-way between the transmitter and receiver.",measure point
Formation Evaluation,"The point on a logging tool at which it is considered the logging measurement is made. It is the center of the vertical response, or in some cases an alternative, more suitable point. For measurements that must be recorded over a significant time period, there is a difference between the static and dynamic measure point, known as the lag.",measure point
Production Testing,"A common measure for gas volume. Standard conditions are normally set at 60oF and 14.7 psia, abbreviated MMscf.",million standard cubic feet
Drilling Fluids,"A specific document that shows important physical and chemical characteristics of a chemical or product to alert a user, transporter or other interested party to potential safety hazards that may be associated with the material. The MSDS also contains treatments for exposure or ingestion as well as the type of equipment needed for safe handling. An MSDS is a legal requirement in most countries for all aspects of commerce involving chemicals.",MSDS
Geology,Abbreviation for million years. The preferred abbreviation is Ma.,My
Drilling,"The length of the wellbore, as if determined by a measuring stick. This measurement differs from the true vertical depth of the well in all but vertical wells. Since the wellbore cannot be physically measured from end to end, the lengths of individual joints of drillpipe, drill collars and other drillstring elements are measured with a steel tape measure and added together. Importantly, the pipe is measured while in the derrick or laying on a pipe rack, in an untensioned, unstressed state. When the pipe is screwed together and put into the wellbore, it stretches under its own weight and that of the bottomhole assembly. Although this fact is well established, it is not taken into account when reporting the well depth. Hence, in virtually all cases, the actual wellbore is slightly deeper than the reported depth.",measured depth
Enhanced Oil Recovery,"A unit of measurement for the corrosion rate of a coupon, abbreviated as mpy. A mil is one thousandth of an inch.",mils per year penetration
Drilling,Abbreviation for mechanical specific energy.,MSE
Geology,Abbreviation for millions of years before present. The preferred abbreviation is Ma.,MYBP
Formation Evaluation,"Measurements made by measurements-while-drilling (MWD) tools subsequent to the initial bit run. MWD logs are recorded while drilling the well. However, these tools can also record logs at later times when the drillstring is in the hole. This may be while pulling out after drilling, or on a subsequent bit run or circulating trip. The latter is also known as logging while tripping.",measurement after drilling
Geology,"A crystalline substance that is naturally occurring, inorganic, and has a unique or limited range of chemical compositions. Minerals are homogeneous, having a definite atomic structure. Rocks are composed of minerals, except for rare exceptions like coal, which is a rock but not a mineral because of its organic origin. Minerals are distinguished from one another by careful observation or measurement of physical properties such as density, crystal form, cleavage (tendency to break along specific surfaces because of atomic structure), fracture (appearance of broken surfaces), hardness, luster and color. Magnetism, taste and smell are useful ways to identify only a few minerals.",mineral
Geophysics,"An electromagnetic method used to map the spatial variation of the Earth's resistivity by measuring naturally occurring electric and magnetic fields at the Earth's surface. These natural EM fields are generated (at all frequencies) in the Earth's atmosphere mainly by lightning strokes and by interactions between the solar wind and the ionosphere. In the most general MT method, the horizontal components of the electric field and all three components of the magnetic field are measured at the surface. The measurements are used to determine specific ratios of electric to magnetic field components called tensor impedances. The technique was introduced the French geophysicist Louis Cagniard in the 1950s and has been popular for mineral exploration and regional geophysical mapping. It is used in oil exploration for low-cost reconnaissance of sedimentary basins and for exploration in areas where seismic surveys are difficult because of severe topography or the presence high-impedance volcanic rocks near the surface. The resolution of MT surveys is limited by the diffusive nature of EM propagation in the earth; it is usually on the order of hundreds of meters to kilometers. But the MT method can probe the Earth to depths of several tens of kilometers.",MT
Drilling Fluids,"The common name for the small shrimp species Mysidopsis bahia, which is used as the test organism in a US EPA bioassay test protocol.",mysid shrimp
Formation Evaluation,The difference between the true value and that which is reported from a measurement.,measurement error
Oil and Gas Business,"Ownership of the right to exploit, mine or produce all minerals lying beneath the surface of a property. In this case, minerals include all hydrocarbons. Mineral interests include: 1. the right to use as much of the surface as is reasonably necessary to access the minerals, 2. the right to execute any conveyances of mineral rights, 3. the right to receive bonus consideration, 4. the right to receive delay rentals and 5. the right to receive royalty. Any or all of the above five rights of mineral ownership may be conveyed by the mineral owner.",mineral interest
Drilling Fluids,"A term that is generally synonymous with drilling fluid and that encompasses most fluids used in hydrocarbon drilling operations, especially fluids that contain significant amounts of suspended solids, emulsified water or oil. Mud includes all types of water-base, oil-base and synthetic-base drilling fluids. Drill-in, completion and workover fluids are sometimes called muds, although a fluid that is essentially free of solids is not strictly considered mud.",mud
Formation Evaluation,"The exponent, n, in the relation of water saturation, Sw, to resistivity index, I (I = Sw-n) for a sample of rock. It expresses the effect on the resistivity of desaturating the sample, or replacing water with a non-conductive fluid. In petrophysically simple, water-wet rocks (Archie rocks), n is constant for different values of Sw, and a single average n can be found for a particular reservoir or formation. A typical value is 2. In more complex rocks, n changes with Sw, although often being about 2 near Sw = 1. In rocks with conductive minerals, such as shaly sands, n becomes increasingly lower as Sw is reduced. This change is negligible for high-salinity waters, but increases as the salinity is reduced. In shaly-sand saturation equations, such as Waxman-Smits, dual water, SGS and CRMM, n is the intrinsic n, determined with high-salinity water or with the clay effects removed. The variation of I with Sw is then predicted, with varying success, by the different equations. In carbonates with multiple pore types, such as fractures, vugs, interparticle porosity and microporosity, n may change as each pore type is desaturated. A different n may be used for a different range of Sw. In all cases, n increases if any pores are oil-wet. Values up to 8 have been reported in very oil-wet rocks.",n
Drilling,"To put together, connect parts and plumbing, or otherwise make ready for use. This term is usually reserved for the installation of a blowout preventer stack.",nipple up
Well Completions,The process of assembling well-control or pressure-control equipment on the wellhead.,nipple up
Production Testing,"Contaminants such as hydrogen sulfide [H2S], carbon dioxide [CO2], nitrogen [N2], and water, which are commonly associated with oil and gas production.",nonhydrocarbon contaminants
General Terms,"NACE, or NACE International, is a worldwide professional organization committed to corrosion prevention and control. NACE, founded in 1943, is headquartered in Houston, Texas, USA. Areas of focus include oil and gas, water, transportation and infrastructure protection. The original name was National Association of Corrosion Engineers—the source of its NACE acronym—although the organization formally adopted NACE International—The Corrosion Society, in 1993. Among its activities, the organization offers technical training and certification programs, conducts regional and international conferences, publishes industry standards, reports, publications and technical journals and assists in government relations activities. The NACE Materials Requirements include the widely used MR0175, corrosion resistant materials for oil and gas applications, and MR0103, sulfide stress cracking in corrosive environments. Publications can be ordered from NACE at http://www.nace.org/. References: Petroleum and Natural Gas Industries—Materials for Use in H2S-Containing Environments in Oil and Gas Production, Houston: NACE International, ANSI/NACE MR0175/ISO 15156, 3rd ed., 2015. Petroleum and Natural Gas Industries—Metallic Materials Resistant to Sulfide Stress Cracking in Corrosive Petroleum Refining Environments, Houston: NACE International, MR0103/ISO 17945, 2015.",NACE
Geology,"Describing the environment and conditions of the marine zone between low tide and the edge of the continental shelf, a depth of roughly 200 m [656 ft]. A neritic environment supports marine organisms, also described as neritic, that are capable of surviving in shallow water with moderate exposure to sunlight.",neritic
Well Completions,"The process of disassembling well-control or pressure-control equipment on the wellhead. Depending on the configuration of the wellhead and casing strings, it may be necessary to nipple-down and nipple-up the blowout preventer (BOP) system as each casing string is run.",nipple down
Well Testing,"A gas described by an equation of state of the form pV = znRT, where z is the gas deviation factor dependent on pressure, temperature and gas composition.",nonideal gas
Production Testing,"Crude oil containing asphaltic materials but very little or no paraffin wax. This type of oil is suitable for making gasoline, lubricating oil and asphalt. It is also called asphalt-base crude.",naphthene base crude oil
Geophysics,A geometrical arrangement of seismic receivers (geophones) with signals recorded by one channel. The array can contain numerous closely spaced geophones.,nest
Drilling Fluids,"Not a typical fluid. Unlike a Newtonian fluid, which displays liquid behavior, a non-Newtonian fluid has properties of a liquid and of a solid. Under certain conditions, a non-Newtonian fluid flows as a liquid and under other conditions, it exhibits elasticity, plasticity and strength similar to a solid. In addition, unlike Newtonian fluids, the viscosity of many non-Newtonian fluids varies with shear rate. Four classes of non-Newtonian fluids depend on how the fluid viscosity—a measure of a fluid’s ability to resist flow—varies in response to the duration and magnitude of applied shear rate. The viscosity of: Thixotropic fluids decreases over time under shearing. For example, solid honey becomes a liquid after continuous stirring. Rheopectic fluids increases over time under shearing. For example, cream will thicken after continuous stirring. Pseudoplastic fluids decreases with increasing shear rate; these fluids exhibit shear thinning behavior. For example, ketchup will squirt through a hole in a bottle top at high velocity but stand still as a dollop on a plate. Dilatant fluids increases with increasing shear rate; these fluids exhibit shear thickening behavior. Most successful drilling fluids are non-Newtonian and exhibit behaviors that are described by rheological mathematical models of shear stress, or resistance, as a function of shear rate. In the Bingham plastic model, flow will not begin until the shear stress attains a minimum value, the yield stress, after which the flow is similar to that of a Newtonian fluid because the viscosity is constant and does not vary with shear rate. Pseudoplasticity, or shear thinning, is a non-Newtonian behavior that is desirable for drilling fluids. Power-law and Herschel-Bulkley models describe pseudoplastic behavior, in which the slope—the viscosity—of the shear stress versus shear rate curve decreases as the shear rate decreases.",non Newtonian fluid
Reservoir Characterization,Any model that incorporates more than one variable that is represented by fractal geometry or a fractal function. These models can become very complex if the variables are interdependent.,nested fractal structures
Well Workover and Intervention,A multiphase fluid incorporating a liquid base and gaseous nitrogen. Nitrified fluids are frequently used in stimulation treatments to enhance the performance of the treatment fluid and improve the cleanup process following the treatment.,nitrified fluid
Oil and Gas Business,"A percentage share of production, or the value derived from production, which is free of the costs of drilling and producing, created by the lessor or royalty owner and borne by the lessor or royalty owner out of the lessor royalty. This royalty is paid to nonparticipating interest holders who do not share or participate in bonus or rentals, or a right to explore, or a right to execute oil and gas leases.",nonparticipating royalty
Drilling Fluids,"A type of organic compound of carbon and hydrogen that contains one or more saturated cyclic (ring) structures, or contains such structures as a major portion of the molecule. The general formula is CnH2n. Naphthenic compounds are sometimes called naphthenes, cycloparaffins or hydrogenated benzenes. Naphtha is a refined petroleum fraction that contains a high percentage of these types of hydrocarbons. In drilling fluids, particularly oil-base muds, the amounts and types of hydrocarbons in the mud can be an important parameter in the overall performance of the mud.",naphthenic hydrocarbon
Production Testing,The volume of gas produced less gas injected.,net gas production
Perforating," Well Completions,A column of high-pressure nitrogen typically applied to a tubing string in preparation for drillstem testing or perforating operations in which the reservoir formation is to be opened to the tubing string. The nitrogen cushion allows a precise pressure differential to be applied before opening flow from the reservoir. Once flow begins, the nitrogen cushion pressure can be easily and safely bled down to flow formation fluids under a high degree of control.",nitrogen cushion
Oil and Gas Business,"Ownership in a share of production, paid to an owner who does not share in the right to explore or develop a lease, or receive bonus or rental payments. It is free of the cost of production, and is deducted from the royalty interest.",nonparticipating royalty interest
Geophysics,"Conventional marine seismic data acquired using a single vessel to tow one or two seismic source arrays in front of a receiver spread. The resulting angle between the source and receivers, is about 20°.",Narrow azimuth seismic data
Production Testing,"The volume of oil produced less oil injected. In hydraulic pumping, the oil injected is known as power oil.",net oil production
Enhanced Oil Recovery,"A process whereby nitrogen gas is injected into an oil reservoir to increase the oil recovery factor. Below the minimum miscibility pressure (MMP), this is an immiscible process in which recovery is increased by oil swelling, viscosity reduction and limited crude-oil vaporization. Above the MMP, nitrogen injection is a miscible vaporizing drive. Miscibility of nitrogen can be achieved only with light oils that are at high pressures; therefore, the miscible method is suitable only in deep reservoirs.",nitrogen injection
Drilling Fluids,"Clays incorporated into a so-called native-solids mud when drilling shallow formations. Native clays are undesirable in muds that are (or will be) weighted with barite. The viscosity of weighted fluids can rise quickly with added native clays, making it difficult to control and pump the mud. Better mud properties result when the drilled solids level, including the level of native clays, is kept low.",native clay
Oil and Gas Business,A share of net proceeds from production paid solely from the working interest owners share. It is sometimes granted in lieu of a royalty interest.,net profits interest
Well Completions,"Another term for nitrogen lift, the use of nitrogen gas circulated into the production conduit to displace liquids and reduce the hydrostatic pressure created by the fluid column. Nitrogen lifting is a common technique used to initiate production on a well following workover or overbalanced completion. A coiled tubing string is generally used to apply the treatment, which involves running to depth while pumping high-pressure nitrogen gas. Once the kill-fluid column is unloaded and the well is capable of natural flow, the coiled tubing string is removed and the well is prepared for production.",nitrogen kickoff
Formation Evaluation,"Referring to a type of conventional electrical log in which the current emitting electrode (A) and the measure electrode (M) are placed close together on the sonde, and the current return electrode (B) and the measure reference electrode (N) far away. The response is determined mainly by the distance between A and M. The larger AM, the deeper the measurement, but the poorer the bed boundary response. Although many distances have been used, the most common are 16 in. [40 cm], known as the short normal, and 64 in. [162 cm], known as the long normal.",normal
Drilling Fluids,"A mud in which the suspended solids are dispersed clays, sand, chert and other rock that originated from formations being drilled. A spud mud is commonly a type of native-solids mud. Native muds can be economically diluted with water and passed through banks of desilters and desanders to keep solids down. No expensive weighting materials are being discarded and replaced in such a process. At the depth that higher density is required, native mud is usually totally or partially discarded and new mud is made using commercially prepared mud additives and barite.",native solids mud
Oil and Gas Business,"A share of production after all burdens, such as royalty and overriding royalty, have been deducted from the working interest. It is the percentage of production that each party actually receives.",net revenue interest
Well Completions,"The use of nitrogen gas circulated into the production conduit to displace liquids and reduce the hydrostatic pressure created by the fluid column. Nitrogen lifting is a common technique used to initiate production on a well following workover or overbalanced completion. A coiled tubing string is generally used to apply the treatment, which involves running to depth while pumping high-pressure nitrogen gas. Once the kill-fluid column is unloaded and the well is capable of natural flow, the coiled tubing string is removed and the well is prepared for production.",nitrogen lift
Geology,"A type of fault in which the hanging wall moves down relative to the footwall, and the fault surface dips steeply, commonly from 50o to 90o. Groups of normal faults can produce horst and graben topography, or a series of relatively high- and low-standing fault blocks, as seen in areas where the crust is rifting or being pulled apart by plate tectonic activity. A growth fault is a type of normal fault that forms during sedimentation and typically has thicker strata on the downthrown hanging wall than the footwall.",normal fault
Formation Evaluation,A core taken so as to preserve the in-situ water saturation of the rock. A native-state core is usually drilled with oil-base mud or crude oil from the same reservoir.,native state core
Reservoir Characterization,"A concept for advanced computer calculations developed by Alan Turing to mimic some of the operations of the neurons in a brain. Memory elements (neurons) are conceptually interconnected by multiple paths connected with on-off switches to emulate the synapses of the brain. The original intent was to build a data-processing machine. Modern applications reduce the concept to structured digital software processing models. Repeated processing through a neural network allows the network to learn from the data it processes. The learned process obtained from a set of training data with solutions can then be applied to other data sets for which no solution exists. An oilfield example includes training a network with wireline log and core data and then using the network to interpret further log data in terms of the core data. Neural networks are also being used in seismic processing, geological mapping and petrophysical analysis.",neural networks
Well Workover and Intervention,The injection of nitrogen into the fluid column within the production conduit to initiate fluid flow from the wellbore and production from the reservoir. Nitrogen lifting through a coiled tubing string is a common technique used in well kickoff.,nitrogen lifting
Geophysics,"The case in which a wavefront is parallel to an interface and its raypath is perpendicular, or normal, to the interface as the wave impinges upon the interface.",normal incidence
Well Completions,"The point on a string of tubulars at which there are neither tension nor compression forces present. Below the neutral point, there will be compression forces that build toward the bottom of the wellbore. Above the neutral point, tensile forces build to a maximum applied at the hanger or as hook load.",neutral point
Well Completions,"A high-pressure pump or compressor unit capable of delivering high-purity nitrogen gas for use in oil or gas wells. Two basic types of unit are commonly available: a nitrogen converter unit that pumps liquid nitrogen at high pressure through a heat exchanger or converter to deliver high-pressure gas at ambient temperature, and a nitrogen generator unit that compresses and separates air to provide a supply of high-pressure nitrogen gas.",nitrogen unit
Formation Evaluation,"A type of acoustic energy that propagates in one direction while being confined in the other two directions, in this case by the borehole wall. Normal modes are propagated as reflections off the borehole wall, and exist only in hard rock. They are highly dispersive, starting with the formation shear velocity at a certain cutoff frequency and decreasing at high frequencies to the borehole fluid velocity. Below the cutoff frequency, they do not exist. Normal mode #0 is often considered to be the tube wave and starts at zero frequency. Normal mode #1 is called the pseudoRayleigh, and starts at around 5 kHz. The other normal modes start at increasingly higher frequencies.",normal mode
Well Completions,A completion system designed to utilize the natural flow capability of the reservoir.,natural completion
Drilling Fluids,"A chemical reaction between an acid and a base to form a salt and water. Neutralization is used in the manufacture of mud products, removal of acidic contaminants from muds and formation of emulsifiers in oil mud. Neutralization is used in the test for alkalinity of mud and mud filtrate.",neutralization
Geophysics,"The effect of the separation between receiver and source on the arrival time of a reflection that does not dip, abbreviated NMO. A reflection typically arrives first at the receiver nearest the source. The offset between the source and other receivers induces a delay in the arrival time of a reflection from a horizontal surface at depth. A plot of arrival times versus offset has a hyperbolic shape.",NMO
Geophysics,The procedure in seismic processing that compensates for the effects of the separation between seismic sources and receivers in the case of a horizontal reflector.,NMO
Geophysics,"The effect of the separation between receiver and source on the arrival time of a reflection that does not dip, abbreviated NMO. A reflection typically arrives first at the receiver nearest the source. The offset between the source and other receivers induces a delay in the arrival time of a reflection from a horizontal surface at depth. A plot of arrival times versus offset has a hyperbolic shape.",normal moveout
Geophysics,The procedure in seismic processing that compensates for the effects of the separation between seismic sources and receivers in the case of a horizontal reflector.,normal moveout
Shale Gas," Geology,A crack or surface of breakage within rock not related to foliation or cleavage in metamorphic rock along which there has been no movement. A fracture along which there has been displacement is a fault. When walls of a fracture have moved only normal to each other, the fracture is called a joint. Fractures can enhance permeability of rocks greatly by connecting pores together, and for that reason, fractures are induced mechanically in some reservoirs in order to boost hydrocarbon flow. Fractures may also be referred to as natural fractures to distinguish them from fractures induced as part of a reservoir stimulation or drilling operation. In some shale reservoirs, natural fractures improve production by enhancing effective permeability. In other cases, natural fractures can complicate reservoir stimulation.",natural fracture
Drilling Fluids,"To form a salt and water by chemical reaction between an acid and a base. Neutralization is used in the manufacture of mud products, removal of acidic contaminants from muds, formation of emulsifiers in oil mud and in the test for alkalinity of mud and mud filtrate.",neutralize
Geophysics,"Pertaining to a measurement of the nuclear magnetic properties of formation hydrogen. The basic core and log measurement is the T2 decay, presented as a distribution of T2 amplitudes versus time at each sample depth, typically from 0.3 ms to 3 s. The T2 decay is further processed to give the total pore volume (the total porosity) and pore volumes within different ranges of T2. The most common volumes are the bound fluid and free fluid. A permeability estimate is made using a transform such as the Timur-Coates or SDR permeability transforms. By running the log with different acquisition parameters, direct hydrocarbon typing and enhanced diffusion are possible.",NMR
Geophysics,"A function of time and offset that can be used in seismic processing to compensate for the effects of normal moveout, or the delay in reflection arrival times when geophones and shotpoints are offset from each other.",normal moveout correction
Geophysics,"The frequency of the normal, free oscillation or vibration of an entity or a system, such as the vibration of a tuning fork when struck or the open string of a musical instrument when plucked. A system oscillating at its natural frequency is said to resonate.",natural frequency
Well Workover and Intervention,"A fluid prepared to counteract the corrosive effect of acids or acidic treatment fluids. Neutralizing solutions generally are used when the components to be protected cannot be adequately flushed or when there is a risk that residual fluids may cause problems through prolonged exposure. Neutralizing solutions are commonly formulated with soda ash to provide an inexpensive, nondamaging alkaline fluid that does not create excessive disposal difficulties.",neutralizing solution
Well Completions,"A nipple that incorporates a reduced diameter internal profile that provides a positive indication of seating by preventing the tool or device to be set from passing through the nipple. In many completions, a no-go landing nipple is preferred for the deepest nipple location, providing a no-go barrier to protect against a tool string being run or dropped below the tubing string.",no go landing nipple
Geology,"The pore pressure of rocks that is considered normal in areas in which the change in pressure per unit of depth is equivalent to hydrostatic pressure. The normal hydrostatic pressure gradient for freshwater is 0.433 pounds per square inch per foot (psi/ft), or 9.792 kilopascals per meter (kPa/m), and 0.465 psi/ft for water with 100,000 ppm total dissolved solids (a typical Gulf Coast water), or 10.516 kPa/m.",normal pressure
Formation Evaluation,"The technique of measuring the spectrum, or number and energy, of gamma rays emitted as natural radioactivity by the formation. There are three sources of natural radioactivity in the Earth: 40K, 232Th and 238U, or potassium, thorium and uranium. These radioactive isotopes emit gamma rays that have characteristic energy levels. The quantity and energy of these gamma rays can be measured in a scintillation detector. A log of natural gamma ray spectroscopy is usually presented as a total gamma ray log and the weight fraction of potassium (%), thorium (ppm) and uranium (ppm). The primary standards for the weight fractions are formations with known quantities of the three isotopes. Natural gamma ray spectroscopy logs were introduced in the early 1970s, although they had been studied from the 1950s.",natural gamma ray spectroscopy
Production Logging,"A record of elemental concentrations derived from the characteristic energy levels of gamma rays emitted by a nucleus that has been activated by neutron bombardment. In the context of production logging, the term normally refers to the activation of silicon and aluminum to determine the quality of a gravel pack. Silicon and aluminum are activated by a neutron source to produce isotopes that decay with a half-life of 2.3 minutes emitting a 1.78 MeV gamma ray. These gamma rays are counted in a detector placed below the source, with a high count indicating a high quantity of silicon in a sand pack, or aluminum in a bauxite pack. The log is run slowly so that oxygen and other activated elements have decayed before the detector crosses the activated interval. The carbon-oxygen log, elemental-capture spectroscopy log, pulsed-neutron spectroscopy log, aluminum-activation log and the oxygen-activation log are also examples of neutron-activation logs.",neutron activation log
Drilling Fluids,A unit of concentration for solutions of reagent chemicals used in testing mud chemistry. Normality provides a simple relationship between the volume in cm3 of reagent added during a titration and the chemical equivalents of a material with which the reagent reacts. A one-normal (1N) solution contains the equivalent weight in grams dissolved in one liter of solution.,normality
Geology,"A naturally occurring mixture of hydrocarbon gases that is highly compressible and expansible. Methane [CH4] is the chief constituent of most natural gas (constituting as much as 85% of some natural gases), with lesser amounts of ethane [C2H6], propane [C3H8], butane [C4H10] and pentane [C5H12]. Impurities can also be present in large proportions, including carbon dioxide, helium, nitrogen and hydrogen sulfide.",natural gas
Shale Gas,"Natural gas produced from shale reservoirs is known as shale gas. The composition of the gas stream is a function of the thermal maturity of the rock. Thermally immature rocks will contain heavier hydrocarbon components, possibly even liquid components. Overmature reservoirs typically contain appreciable quantities of carbon dioxide [CO2].",natural gas
Formation Evaluation,"A neutron interaction in which the neutron is absorbed by the target nucleus, producing an isotope in an excited state. The activated isotope de-excites instantly through the emission of characteristic gamma rays. Neutron capture, also called thermal capture, usually occurs at low thermal energies at which the neutrons have about the same energy as the surrounding matter, typically below 0.4 eV (0.025 eV at room temperature). Some elements are better thermal absorbers than others. Neutron capture is an important principle behind the pulsed neutron capture log, the elemental capture spectroscopy log, the pulsed neutron spectroscopy log and the thermal neutron porosity measurement.",neutron capture
Production Testing,"Components of natural gas that are liquid at surface in field facilities or in gas-processing plants. Natural gas liquids can be classified according to their vapor pressures as low (condensate), intermediate (natural gasoline) and high (liquefied petroleum gas) vapor pressure. Natural gas liquids include propane, butane, pentane, hexane and heptane, but not methane and ethane, since these hydrocarbons need refrigeration to be liquefied. The term is commonly abbreviated as NGL.",natural gas liquids
